category,likesNum,name,nameOnSite,descriptions
premium/sandboxes,0,Sandbox Mirificatio,Premium Sandbox - Mirificatio,Premium members can use this sandbox space to rez existing objects into their inventory or build entirely new objects.
premium/sandboxes,0,Sandbox Astutula,Premium Sandbox - Astutula,"The sky's the limit. This holiday season, share this exclusive gift with friends and family."
premium/sandboxes,0,Sandbox Lautus,Premium Sandbox - Lautus,The world is your oyster! Go crazy and create! Jump in and build whatever you like in this Premium Sandbox location.
premium/sandboxes,0,Sandbox Exemplar,Premium Sandbox - Exemplar,Dive in and explore your creative side with a Premium Sandbox. Here you can design almost anything you can imagine. The world is yours to create!
premium/sandboxes,0,Sandbox Formonsa,Premium Sandbox - Formonsa,It all starts with a prim. Imagine it and then build it in this Premium-only sandbox.
premium/sandboxes,0,Sandbox Decorus,Premium Sandbox - Decorus,"Imagine. Build. Create. It's all possible at Decorus, one of the many sandboxes available to Premium members. This winter, celebrate the holidays with an exclusive holiday gift pack. "
premium/sandboxes,0,Sandbox Goyer,Premium Adult Sandbox - Goyer,"Get down to business and make your creative vision come to life at Goyer, an Adults-only sandbox for Premium members."
premium/sandboxes,0,Sandbox Callida,Premium Sandbox - Callida,What will you create in this Premium-only sandbox?
premium/sandboxes,0,Sandbox Mirus,Premium Sandbox - Mirus,"It's your world, your imagination. Make it happen at Mirus -- a place where Premium members can build, create and design to their heart's content."
premium/sandboxes,0,Sandbox Amoena,Premium Sandbox - Amoena,Test out your building and scripting skills at Sandbox Amoena -- for Premium members only.
